"code,msp_name,long_url"
"REL100,BSoft Solutions,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6ImJzb2Z0c29sdXRpb25zLmNvbSIsIkM1IjozfX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJVMTQiOjExLCJEMjQwIjowLCJFMjQwIjowLCJGMjQwIjowLCJHMjQwIjowLCJCMjU0IjoyNCwiQzI1NCI6OSwiRDI1NCI6NSwiRTI1NCI6MywiRzI1NCI6MCwiSDI1NCI6MywiSTI1NCI6MSwiSjI1NCI6MCwiVzE0IjozNSwiQjI0OSI6MTEsIkQyNDkiOjYsIkUyNDkiOjUsIkYyNDkiOjQsIkkyNDkiOjEsIlU1IjoyMCwiVjUiOjUwLCJXNSI6MiwiVzgiOjAuMSwiWDgiOjAuMTEsIk8xIjoxLCJVMTEiOjUwMCwiVjExIjo1MDAsIlgxMSI6MX19LCJXZWJzaXRlIERlcGxveW1lbnQgQ2hlY2tsaXN0Lnhsc3giOnsiU2hlZXQxIjp7IkgxIjozfX19"
"REL101,Chibitek,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6ImNoaWJpdGVrLmNvbSIsIkM1IjozfX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJVMTQiOjE2LCJEMjQwIjowLCJFMjQwIjowLCJGMjQwIjoyLCJHMjQwIjozLCJCMjU0Ijo2NSwiQzI1NCI6OSwiRDI1NCI6NSwiRTI1NCI6NCwiRjI1NCI6OCwiRzI1NCI6NSwiSDI1NCI6OSwiSTI1NCI6MTAsIkoyNTQiOjAsIlcxNCI6MTkwMCwiQjI0OSI6NDMsIkMyNDkiOjMwLCJEMjQ5Ijo3LCJFMjQ5Ijo5LCJGMjQ5Ijo2LCJHMjQ5IjoxOSwiSDI0OSI6NCwiSjI0OSI6MCwiSzI0OSI6NiwiTzEiOjEsIlU1IjozMjUsIlY1IjoyNjAsIlc1Ijo3MCwiQUI1IjoyNSwiVTgiOjc1MCwiVzgiOjAuMzQsIlg4IjowLjMzfX0sIldlYnNpdGUgRGVwbG95bWVudCBDaGVja2xpc3QueGxzeCI6eyJTaGVldDEiOnsiSDEiOjJ9fX0="
"REL102,jpthegeek,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6ImpwdGhlZ2Vlay5jb20iLCJDNSI6M319LCIyMDIwIFRyYWZmaWMgR29hbHMueGxzeCI6eyJFeGFtcGxlIENvbXBhbnkiOnsiVTE0IjoyMSwiRDI0MCI6MSwiRTI0MCI6NSwiRjI0MCI6NCwiRzI0MCI6MSwiQjI1NCI6NTcsIkMyNTQiOjEwLCJEMjU0IjozLCJFMjU0IjoxLCJGMjU0IjowLCJHMjU0IjoxLCJJMjU0IjozLCJKMjU0IjowLCJXMTQiOjM3NywiQzI0OSI6MTIsIkQyNDkiOjEzLCJFMjQ5IjoxMCwiRjI0OSI6NywiRzI0OSI6MTQsIkgyNDkiOjcsIkkyNDkiOjIsIkoyNDkiOjMsIksyNDkiOjIsIlU1Ijo1MjUsIlY1Ijo0NjAsIlc1Ijo5NSwiVTgiOjEyNTAsIlc4IjowLjM1LCJPMSI6MX19LCJXZWJzaXRlIERlcGxveW1lbnQgQ2hlY2tsaXN0Lnhsc3giOnsiU2hlZXQxIjp7IkgxIjoyfX19"
"REL103,Capital Computers,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6ImNhcGNvbXB1dGVycy5uZXQiLCJDNSI6M319LCIyMDIwIFRyYWZmaWMgR29hbHMueGxzeCI6eyJFeGFtcGxlIENvbXBhbnkiOnsiVTE0IjoxMywiRTI0MCI6MSwiRzI0MCI6MCwiQjI1NCI6NTEsIkMyNTQiOjE1LCJFMjU0IjoxLCJHMjU0IjozLCJIMjU0Ijo3LCJJMjU0Ijo4LCJKMjU0IjowLCJCMjQ5IjozNSwiQzI0OSI6MjEsIkQyNDkiOjYsIkUyNDkiOjEyLCJGMjQ5Ijo1LCJHMjQ5IjoxNCwiSDI0OSI6MiwiSTI0OSI6NCwiSjI0OSI6MiwiVzE0IjoxNTcsIk8xIjoxLCJCMjQwIjowLCJEMjQwIjoxLCJEMjU0IjozLCJGMjU0IjoxLCJLMjQ5IjoyfX0sIldlYnNpdGUgRGVwbG95bWVudCBDaGVja2xpc3QueGxzeCI6eyJTaGVldDEiOnsiSDEiOjJ9fX0="
"REL104,NSI,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6Imh0dHBzOi8vd3d3Lm5zaXNlcnYuY29tLyIsIkM1IjozfX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJVMTEiOjIwMDAsIlUxNCI6MzMsIlYxMSI6MTc1MCwiVjE0IjoxOCwiQjI0MCI6MTAsIkMyNDAiOjUxLCJEMjQwIjo2MiwiRTI0MCI6NTQsIkYyNDAiOjYxLCJHMjQwIjo2NywiQjI1NCI6MjAwLCJDMjU0Ijo2MywiRDI1NCI6MzEsIkUyNTQiOjI1LCJGMjU0Ijo0MiwiRzI1NCI6MzEsIkgyNTQiOjI2LCJJMjU0IjoyNCwiSjI1NCI6MTUsIksyNTQiOjMsIlcxNCI6MTQ5OTAwLCJCMjQ5IjoyMTQsIkMyNDkiOjEyOCwiRDI0OSI6NDIsIkUyNDkiOjQ0LCJGMjQ5IjoxNCwiRzI0OSI6MzAsIkgyNDkiOjYsIkkyNDkiOjExLCJKMjQ5Ijo5LCJLMjQ5IjoxMSwiTzEiOjEsIlU1IjoxMjI1LCJWNSI6MTYwMCwiVzUiOjMyMiwiQUI1Ijo1OSwiVTgiOjI4MDAsIlY4Ijo0LjgsIlc4IjowLjQ0LCJYOCI6MC40NX19LCJXZWJzaXRlIERlcGxveW1lbnQgQ2hlY2tsaXN0Lnhsc3giOnsiU2hlZXQxIjp7IkgxIjoyfX19"
"REL105,go2tech,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJDNSI6MywiRDEiOiJodHRwczovL3d3dy5nbzJ0ZWNoLmNvbS8ifX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJVMTQiOjI0LCJFMjQwIjoxNSwiRjI0MCI6MjUsIkcyNDAiOjExLCJCMjU0IjoxMDQsIkMyNTQiOjUwLCJEMjU0IjoyMywiRTI1NCI6MTcsIkYyNTQiOjEyLCJHMjU0Ijo4LCJIMjU0IjoxNiwiSTI1NCI6MTIsIkoyNTQiOjgsIksyNTQiOjAsIlcxNCI6NzU5LCJCMjQ5Ijo5MywiQzI0OSI6NjYsIkQyNDkiOjI0LCJFMjQ5Ijo0MCwiRjI0OSI6MTIsIkcyNDkiOjE5LCJLMjQ5Ijo0LCJPMSI6MSwiVTUiOjMyNSwiQjI0MCI6MywiQzI0MCI6MjUsIkQyNDAiOjIxLCJIMjQ5IjoyLCJJMjQ5Ijo0LCJKMjQ5Ijo1LCJWNSI6MzYwLCJXNSI6NTUsIlU4Ijo3NTAsIlg4IjowLjM5fX0sIldlYnNpdGUgRGVwbG95bWVudCBDaGVja2xpc3QueGxzeCI6eyJTaGVldDEiOnsiSDEiOjJ9fX0="
"REL106,Cloud Savvy,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJDNSI6MywiRDEiOiJjbG91ZC1zYXZ2eS5jb20ifX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJVMTQiOjEzLCJFMjQwIjoxLCJGMjQwIjo0LCJHMjQwIjoxLCJCMjU0Ijo1OCwiQzI1NCI6MTgsIkQyNTQiOjEwLCJFMjU0Ijo2LCJGMjU0Ijo1LCJHMjU0Ijo3LCJIMjU0Ijo2LCJJMjU0IjoyLCJKMjU0IjowLCJLMjU0IjoxLCJXMTQiOjE1NzMwMCwiQjI0OSI6MzYsIkMyNDkiOjI4LCJEMjQ5IjoxOSwiRTI0OSI6MTgsIkYyNDkiOjYsIkcyNDkiOjUsIksyNDkiOjMsIk8xIjoxLCJVNSI6MzI1fX0sIldlYnNpdGUgRGVwbG95bWVudCBDaGVja2xpc3QueGxzeCI6eyJTaGVldDEiOnsiSDEiOjJ9fX0="
"REL107,JK Technology Solutions,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6ImprY29uc3VsdGluZy5jb20iLCJDNSI6M319LCIyMDIwIFRyYWZmaWMgR29hbHMueGxzeCI6eyJFeGFtcGxlIENvbXBhbnkiOnsiVTE0IjoxMywiQjI0MCI6MiwiQzI0MCI6OSwiRDI0MCI6MjQsIkUyNDAiOjIyLCJGMjQwIjoxNywiRzI0MCI6MTMsIkIyNTQiOjU0LCJDMjU0IjoyMSwiRDI1NCI6NywiRTI1NCI6NywiRjI1NCI6NSwiRzI1NCI6NywiSDI1NCI6MTUsIkkyNTQiOjEwLCJKMjU0Ijo4LCJCMjQ5Ijo1MiwiQzI0OSI6MjksIkQyNDkiOjE4LCJFMjQ5IjoyNywiRjI0OSI6NSwiRzI0OSI6NCwiSDI0OSI6NCwiSTI0OSI6MSwiSjI0OSI6MiwiVzE0IjozMDUsIk8xIjoxLCJVNSI6MzE1LCJWNSI6MjEwLCJXNSI6MjksIlU4Ijo2MTB9fSwiV2Vic2l0ZSBEZXBsb3ltZW50IENoZWNrbGlzdC54bHN4Ijp7IlNoZWV0MSI6eyJIMSI6Mn19fQ=="
"REL108,Freedom Tech,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6Imh0dHBzOi8vd3d3LmZ0c3N1cHBvcnQuY29tLyIsIkM1IjozfX0sIjIwMjAgVHJhZmZpYyBHb2Fscy54bHN4Ijp7IkV4YW1wbGUgQ29tcGFueSI6eyJPMSI6MSwiQzI0MCI6MCwiRDI0MCI6MiwiRTI0MCI6MiwiRjI0MCI6MSwiRzI0MCI6MiwiQjI1NCI6MzAsIkMyNTQiOjEwLCJEMjU0IjoyLCJGMjU0IjozLCJHMjU0IjozLCJIMjU0Ijo1LCJJMjU0Ijo1LCJKMjU0IjozLCJCMjQ5IjoxNiwiQzI0OSI6MTcsIkQyNDkiOjksIkUyNDkiOjcsIkYyNDkiOjEsIkcyNDkiOjcsIkgyNDkiOjEsIkkyNDkiOjMsIkoyNDkiOjEsIlU1IjoyMjUsIlY1IjoxNjAsIlc1IjoyMiwiVTgiOjQ1MCwiVjgiOjMuOCwiVzgiOjAuMzksIlg4IjowLjM1LCJVMTQiOjEyLCJWMTQiOjEsIlcxNCI6OTh9fSwiV2Vic2l0ZSBEZXBsb3ltZW50IENoZWNrbGlzdC54bHN4Ijp7IlNoZWV0MSI6eyJIMSI6MiwiQjE1MiI6MTIsIkMxNTIiOjEsIkMxMzAiOjAsIkQxMzAiOjIsIkUxMzAiOjIsIkYxMzAiOjEsIkcxMzAiOjIsIkIxMzgiOjMwLCJDMTM4IjoxMCwiRDEzOCI6MiwiRjEzOCI6MywiRzEzOCI6MywiSDEzOCI6NSwiSTEzOCI6NSwiSjEzOCI6MywiRDE1MiI6OTgsIkIxMzQiOjE2LCJDMTM0IjoxNywiRDEzNCI6OSwiRTEzNCI6NywiRjEzNCI6MSwiRzEzNCI6NywiSDEzNCI6MSwiSTEzNCI6MywiSjEzNCI6MSwiQjE0MSI6MTUwLCJDMTQxIjoxMDAsIkQxNDEiOjEwLCJCMTQ1IjozMjUsIkMxNDUiOjQsIkQxNDUiOjAuMzUsIkUxNDUiOjAuNDN9fX0="
"REL109,The Source,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJDNSI6MywiRDEiOiJodHRwczovL3RoZXNvdXJjZS50ZWNoIn19LCIyMDIwIFRyYWZmaWMgR29hbHMueGxzeCI6eyJFeGFtcGxlIENvbXBhbnkiOnsiTzEiOjF9fSwiV2Vic2l0ZSBEZXBsb3ltZW50IENoZWNrbGlzdC54bHN4Ijp7IlNoZWV0MSI6eyJIMSI6MSwiQjE1MiI6MSwiQzE1MiI6MSwiQzEzMCI6MCwiRDEzMCI6MCwiRTEzMCI6MCwiRjEzMCI6MCwiRzEzMCI6MCwiQjEzOCI6MiwiQzEzOCI6MiwiRDEzOCI6MSwiRTEzOCI6MiwiRjEzOCI6MCwiRzEzOCI6MCwiSDEzOCI6MCwiSTEzOCI6MCwiQjEzNCI6MSwiQzEzNCI6MywiRDEzNCI6MiwiRTEzNCI6NSwiRjEzNCI6MCwiRzEzNCI6MCwiSDEzNCI6MCwiSTEzNCI6MCwiSjEzNCI6MCwiSzEzNCI6MSwiRDE1MiI6MTEsIkIxNDEiOjUwLCJDMTQxIjo2MCwiRDE0MSI6MiwiRjE0MSI6MCwiQjE0NSI6MTUwLCJDMTQ1IjoyLCJEMTQ1IjowLjE1LCJFMTQ1IjowLjEsIkIxNDgiOjUwMCwiQzE0OCI6MTAwLCJFMTQ4IjowLjV9fX0="
"REL110,Adaptive Technical,https://digitolservices.com/marketing-calculator?s=eyJHUklEIFNoZWV0Ijp7IlNoZWV0MSI6eyJEMSI6Imh0dHBzOi8vd3d3LmJlYWRhcHRpdmUuY2EvIiwiQzUiOjN9fSwiMjAyMCBUcmFmZmljIEdvYWxzLnhsc3giOnsiRXhhbXBsZSBDb21wYW55Ijp7IlUxNCI6MTksIkIyNDAiOjEsIkQyNDAiOjAsIkUyNDAiOjAsIkcyNDAiOjMsIkIyNTQiOjM2LCJDMjU0IjoxMiwiRDI1NCI6MTAsIkUyNTQiOjQsIkYyNTQiOjAsIkcyNTQiOjUsIkgyNTQiOjYsIkkyNTQiOjgsIkoyNTQiOjEsIlcxNCI6MTYwMCwiQjI0OSI6NTAsIkMyNDkiOjE2LCJEMjQ5IjoxMiwiRTI0OSI6OSwiRjI0OSI6MiwiSDI0OSI6MiwiSzI0OSI6MywiTzEiOjF9fSwiV2Vic2l0ZSBEZXBsb3ltZW50IENoZWNrbGlzdC54bHN4Ijp7IlNoZWV0MSI6eyJIMSI6M319fQ=="
